founded_year,status,total_funding,average_funding,total_rounds,num_companies,avg_funding_per_round_agg,avg_funding_per_year_existence_agg
2007,acquired,1077637663.5,6907933.740384615,329,156,3480606.3282356528,363575.4600202429
2007,closed,430397873.5,3188132.3962962963,198,135,2147933.5912698414,167796.4419103314
2007,operating,7077234767.0,5730554.467206478,2419,1235,2929356.2002911563,301608.1298529725
2008,acquired,864789396.5,7147019.805785124,285,121,3224857.0381657486,397056.65587695135
2008,closed,413511464.5,2912052.5669014086,210,142,1854420.0781103286,161780.69816118936
2008,operating,6543503205.0,4865058.144981412,2562,1345,2533079.3235807624,270281.0080545229
2009,acquired,848925795.5,5978350.672535211,288,142,2922685.950326962,351667.6866197183
2009,closed,260544576.5,1714109.0559210526,199,152,1132317.6702850878,100829.94446594427
2009,operating,6725032287.5,4024555.5281268703,2903,1671,2229600.7467961004,236738.5604780512
2010,acquired,704066287.5,5139169.981751825,245,137,2876199.369829684,321198.12385948905
2010,closed,265930863.0,1546109.6686046512,241,172,988114.351744186,96631.8542877907
2010,operating,7981720869.5,3668070.2525275736,3624,2176,2158560.1446548933,229254.39078297335
2011,acquired,635746482.5,3998405.5503144655,258,159,2642189.2943745633,266560.37002096436
2011,closed,161958142.5,999741.6203703703,198,162,702058.8130144033,66649.44135802469
2011,operating,8593391968.5,3058146.6080071176,4612,2810,1768738.419490376,203876.44053380782
2012,acquired,397198977.5,3515035.1991150444,167,113,2372747.458596713,251073.94279393175
2012,closed,225357992.0,2086648.0740740742,144,108,1647123.7110690235,149046.29100529102
2012,operating,7090387361.0,2295366.5785043705,4590,3089,1468319.5484607439,163954.75560745504
2013,acquired,197649827.0,4820727.4878048785,61,41,2867050.225609756,370825.191369606
2013,closed,168073261.5,3232178.105769231,68,52,2662804.908653846,248629.08505917157
2013,operating,4598451821.5,1888481.240862423,3236,2435,1383996.4693935171,145267.78775864793
2014,acquired,57230474.0,4402344.153846154,19,13,2957861.5128205125,366862.0128205129
2014,closed,50901566.0,3393437.7333333334,19,15,2628313.272222222,282786.4777777778
2014,operating,1298929409.0,1421148.149890591,1087,914,1122419.7540788078,118429.01249088257
